model,layer,item,speaker_mode,context_mode,distance_mode,feature_size,score
hubert_base,6,triphone-dev-other,across,within,cosine,0.02,0.0813326388597488
hubert_base,6,triphone-dev-other,within,within,cosine,0.02,0.052466694265604
hubert_base,7,phoneme-dev-clean,across,any,cosine,0.02,0.0919476598501205
hubert_base,7,phoneme-dev-clean,across,within,cosine,0.02,0.0239696074277162
hubert_base,7,phoneme-dev-clean,within,any,cosine,0.02,0.0871166586875915
hubert_base,7,phoneme-dev-clean,within,within,cosine,0.02,0.0191750396043062
hubert_base,7,phoneme-dev-other,across,any,cosine,0.02,0.1183017119765281
hubert_base,7,phoneme-dev-other,across,within,cosine,0.02,0.0547442212700843
hubert_base,7,phoneme-dev-other,within,any,cosine,0.02,0.1056637912988662
hubert_base,7,phoneme-dev-other,within,within,cosine,0.02,0.0345608554780483
hubert_base,7,triphone-dev-clean,across,within,cosine,0.02,0.0432296209037303
hubert_base,7,triphone-dev-clean,within,within,cosine,0.02,0.036220047622919
hubert_base,7,triphone-dev-other,across,within,cosine,0.02,0.0669948756694793
hubert_base,7,triphone-dev-other,within,within,cosine,0.02,0.0458344481885433
hubert_base,8,phoneme-dev-clean,across,any,cosine,0.02,0.0978346988558769
hubert_base,8,phoneme-dev-clean,across,within,cosine,0.02,0.0251043625175952
hubert_base,8,phoneme-dev-clean,within,any,cosine,0.02,0.0934554785490036
hubert_base,8,phoneme-dev-clean,within,within,cosine,0.02,0.0188549943268299
hubert_base,8,phoneme-dev-other,across,any,cosine,0.02,0.1219338104128837
hubert_base,8,phoneme-dev-other,across,within,cosine,0.02,0.05317859724164
hubert_base,8,phoneme-dev-other,within,any,cosine,0.02,0.1102329641580581
hubert_base,8,phoneme-dev-other,within,within,cosine,0.02,0.0347885638475418
hubert_base,8,triphone-dev-clean,across,within,cosine,0.02,0.0451137796044349
hubert_base,8,triphone-dev-clean,within,within,cosine,0.02,0.0387777984142303
hubert_base,8,triphone-dev-other,across,within,cosine,0.02,0.0644725337624549
hubert_base,8,triphone-dev-other,within,within,cosine,0.02,0.0467412658035755
hubert_base,9,phoneme-dev-clean,across,any,cosine,0.02,0.0949646383523941
hubert_base,9,phoneme-dev-clean,across,within,cosine,0.02,0.0254874359816312
hubert_base,9,phoneme-dev-clean,within,any,cosine,0.02,0.0911306142807006
hubert_base,9,phoneme-dev-clean,within,within,cosine,0.02,0.0197494234889745
hubert_base,9,phoneme-dev-other,across,any,cosine,0.02,0.1186248958110809
hubert_base,9,phoneme-dev-other,across,within,cosine,0.02,0.0526987835764884
hubert_base,9,phoneme-dev-other,within,any,cosine,0.02,0.1082316115498542
hubert_base,9,phoneme-dev-other,within,within,cosine,0.02,0.0343185476958751
hubert_base,9,triphone-dev-clean,across,within,cosine,0.02,0.0470001697540283
hubert_base,9,triphone-dev-clean,within,within,cosine,0.02,0.0395269393920898
hubert_base,9,triphone-dev-other,across,within,cosine,0.02,0.0655729919672012
hubert_base,9,triphone-dev-other,within,within,cosine,0.02,0.0472581014037132
